View Counts,Likes,Dislikes,ratios
275,736094,28866,211860,0.65
276,944521,28866,211860,0.47
277,154479,28866,211860,0.73
278,725525,28866,211860,0.89
279,169578,28866,211860,0.83
280,249670,28866,211860,0.3
281,203868,28866,211860,0.86
282,182700,28866,211860,0.62
283,87522,28866,211860,0.64
284,372381,28866,211860,0.36
285,93353,28866,211860,0.48
286,352465,28866,211860,0.74
287,256155,28866,211860,0.0
288,342652,28866,211860,0.06
289,862639,28866,211860,0.3
290,561142,28866,211860,0.19
291,68236,28866,211860,0.65
292,245125,28866,211860,0.69
293,942485,28866,211860,0.16
294,783030,28866,211860,0.98
295,423447,28866,211860,0.48
296,219976,28866,211860,0.47
297,284105,28866,211860,0.98
298,775447,28866,211860,0.05
299,238606,28866,211860,0.4
300,669068,28866,211860,0.95
301,725214,28866,211860,0.11
302,716729,28866,211860,0.76
303,143919,28866,211860,0.43
304,301344,28866,211860,0.51
305,498257,28866,211860,0.53
306,857416,28866,211860,0.16
307,775472,28866,211860,0.13
308,800814,28866,211860,0.67
309,419464,28866,211860,0.01
310,690917,28866,211860,0.5
311,977531,28866,211860,0.97
312,867918,28866,211860,0.27
313,212695,28866,211860,0.67
314,923917,28866,211860,0.48
315,660690,28866,211860,0.98
316,618536,28866,211860,0.74
317,244832,28866,211860,0.92
318,810276,28866,211860,0.74
319,628029,28866,211860,0.46
320,700639,28866,211860,0.92
321,279260,28866,211860,0.94
322,680657,28866,211860,0.39
323,209787,28866,211860,0.01
324,973798,28866,211860,0.4
325,939231,28866,211860,0.17
326,53375,28866,211860,0.11
327,958340,28866,211860,0.33
328,567037,28866,211860,0.77
329,265999,28866,211860,0.46
330,6844,28866,211860,0.77
331,596192,28866,211860,0.66
332,659327,28866,211860,0.64
333,639608,28866,211860,0.07
334,787807,28866,211860,0.79
335,308716,28866,211860,0.82
336,270246,28866,211860,0.37
337,149394,28866,211860,0.69
338,182539,28866,211860,0.29
339,251790,28866,211860,0.57
340,770971,28866,211860,0.71
341,259186,28866,211860,0.03
342,698623,28866,211860,0.37
343,422591,28866,211860,0.66
344,907430,28866,211860,0.03
345,298252,28866,211860,0.5
346,497653,28866,211860,0.37
347,557026,28866,211860,0.51
348,264013,28866,211860,0.58
349,670929,28866,211860,0.57
350,151126,28866,211860,0.66
351,730881,28866,211860,0.54
352,9526,28866,211860,0.85
353,289481,28866,211860,0.65
354,899179,28866,211860,0.5
355,218905,28866,211860,0.41
356,815541,28866,211860,0.59
357,311866,28866,211860,0.58
358,851818,28866,211860,0.05
359,965975,28866,211860,0.5
360,748787,28866,211860,0.81
361,400146,28866,211860,0.39
362,741514,28866,211860,0.45
363,460641,28866,211860,0.99
364,504174,28866,211860,0.32
365,449827,28866,211860,0.72
366,538257,28866,211860,0.53
367,522001,28866,211860,0.58
368,422747,28866,211860,0.47
369,837795,28866,211860,0.46
370,834627,28866,211860,0.64
371,686242,28866,211860,0.89
372,443534,28866,211860,0.6
373,733115,28866,211860,0.42
374,406598,28866,211860,0.52
375,640231,28866,211860,0.26
376,270261,28866,211860,0.7
377,890569,28866,211860,1.0
378,102949,28866,211860,0.44
379,296880,28866,211860,0.16
380,321038,28866,211860,0.95
381,394866,28866,211860,0.65
382,652725,28866,211860,0.22
383,79732,28866,211860,0.62
384,781619,28866,211860,0.24
385,333983,28866,211860,0.62
386,436812,28866,211860,0.05
387,386103,28866,211860,0.12
388,59180,28866,211860,0.43
389,792227,28866,211860,0.43
390,851111,28866,211860,0.69
391,797861,28866,211860,0.23
392,685353,28866,211860,0.64
393,755380,28866,211860,0.29
394,345243,28866,211860,0.54
395,408266,28866,211860,0.5
396,231740,28866,211860,0.18
397,857805,28866,211860,0.51
398,665366,28866,211860,0.02
399,532447,28866,211860,0.54
400,661931,28866,211860,0.27
401,890348,28866,211860,0.43
402,595532,28866,211860,0.39
403,840387,28866,211860,0.43
404,575903,28866,211860,0.46
405,266823,28866,211860,0.77
406,62935,28866,211860,0.14
407,524137,28866,211860,0.33
408,843002,28866,211860,0.82
409,980043,28866,211860,0.46
410,636215,28866,211860,0.39
411,167895,28866,211860,0.05
412,331788,28866,211860,0.59
413,819526,28866,211860,0.65
414,875607,28866,211860,0.38
415,353697,28866,211860,0.86
416,266048,28866,211860,0.04
417,165190,28866,211860,0.72
418,32920,28866,211860,0.72
419,979348,28866,211860,0.59
420,604727,28866,211860,0.19
421,697408,28866,211860,0.47
422,589437,28866,211860,0.61
423,882474,28866,211860,0.38
424,512858,28866,211860,0.51
425,17537,28866,211860,0.75
426,546264,28866,211860,0.33
427,348014,28866,211860,0.98
428,548393,28866,211860,0.35
429,454988,28866,211860,0.31
430,139340,28866,211860,0.74
431,279493,28866,211860,0.54
432,205811,28866,211860,0.84
433,850246,28866,211860,0.72
434,621182,28866,211860,0.1
435,535975,28866,211860,0.28
436,710484,28866,211860,0.07
437,46282,28866,211860,0.72
438,810383,28866,211860,0.34
439,284431,28866,211860,0.41
440,537561,28866,211860,0.93
441,999918,28866,211860,0.06
442,99344,28866,211860,0.28
443,88977,28866,211860,0.08
444,866700,28866,211860,0.22
445,664235,28866,211860,0.57
446,53663,28866,211860,0.46
447,594759,28866,211860,0.72
448,915755,28866,211860,0.6
449,750541,28866,211860,0.67
450,439637,28866,211860,0.68
451,400146,28866,211860,0.61
452,831534,28866,211860,0.34
453,950350,28866,211860,0.95
454,655529,28866,211860,0.62
455,686663,28866,211860,0.58
456,490348,28866,211860,0.85
457,219763,28866,211860,0.35
458,904306,28866,211860,0.57
459,604940,28866,211860,0.65
460,248040,28866,211860,0.15
461,446658,28866,211860,0.19
462,183601,28866,211860,0.97
463,127045,28866,211860,0.65
464,959625,28866,211860,0.6
465,955428,28866,211860,0.17
466,569413,28866,211860,0.29
467,131695,28866,211860,0.46
468,195772,28866,211860,0.12
469,436985,28866,211860,0.6
470,433807,28866,211860,0.43
471,456859,28866,211860,0.81
472,136632,28866,211860,0.27
473,403775,28866,211860,0.12
474,169602,28866,211860,0.83
475,17775,28866,211860,0.5
476,573429,28866,211860,0.54
477,760278,28866,211860,0.16
478,553584,28866,211860,0.53
479,155804,28866,211860,0.0
480,595776,28866,211860,0.59
481,543061,28866,211860,0.84
482,999134,28866,211860,0.76
483,476444,28866,211860,0.92
484,234780,28866,211860,0.45
485,380329,28866,211860,0.06
486,310979,28866,211860,0.36
487,419471,28866,211860,0.5
488,936682,28866,211860,0.54
489,288772,28866,211860,0.43
490,927724,28866,211860,0.47
491,412721,28866,211860,0.57
492,830563,28866,211860,0.55
493,935279,28866,211860,0.29
494,996700,28866,211860,0.82
495,85822,28866,211860,0.81
496,866175,28866,211860,0.02
497,380958,28866,211860,0.97
498,972908,28866,211860,0.51
499,934195,28866,211860,0.5
500,418776,28866,211860,0.06
501,131274,28866,211860,0.5
502,774473,28866,211860,0.49
503,519381,28866,211860,0.04
504,600177,28866,211860,0.89
505,511908,28866,211860,0.47
506,394428,28866,211860,0.81
507,74500,28866,211860,0.48
508,553258,28866,211860,0.48
509,586657,28866,211860,0.91
510,917178,28866,211860,0.17
511,725122,28866,211860,0.99
512,219355,28866,211860,0.34
513,420431,28866,211860,0.14
514,429588,28866,211860,0.24
515,351439,28866,211860,0.54
516,987836,28866,211860,0.64
517,350950,28866,211860,0.22
518,538651,28866,211860,0.1
519,469955,28866,211860,0.38
520,595341,28866,211860,0.65
521,643623,28866,211860,0.47
522,51245,28866,211860,0.66
523,767292,28866,211860,0.61
524,457286,28866,211860,0.44
525,172073,28866,211860,0.54
526,308184,28866,211860,0.56
527,737411,28866,211860,0.25
528,466544,28866,211860,0.3
529,548652,28866,211860,0.54
530,132873,28866,211860,0.21
531,613784,28866,211860,0.42
532,502761,28866,211860,0.41
533,89152,28866,211860,0.5
534,221681,28866,211860,0.83
535,939476,28866,211860,0.38
536,331241,28866,211860,0.7
537,382525,28866,211860,0.56
538,477705,28866,211860,0.5
539,125847,28866,211860,0.55
540,9052,28866,211860,0.34
541,201028,28866,211860,0.83
542,36842,28866,211860,0.39
543,17641,28866,211860,0.54
544,174426,28866,211860,0.64
545,294832,28866,211860,0.33
546,252101,28866,211860,0.97
547,797510,28866,211860,0.63
548,178832,28866,211860,0.69
549,661478,28866,211860,0.44
550,583333,28866,211860,0.36
551,659314,28866,211860,0.33
552,96265,28866,211860,0.81
553,472681,28866,211860,0.75
554,445090,28866,211860,0.52
555,91745,28866,211860,0.04
556,200560,28866,211860,0.1
557,789652,28866,211860,0.98
558,185446,28866,211860,0.46
559,908696,28866,211860,0.67
560,889843,28866,211860,0.17
561,931435,28866,211860,0.47
562,740273,28866,211860,0.53
563,262997,28866,211860,0.72
564,121517,28866,211860,0.16
565,571267,28866,211860,0.56
566,299457,28866,211860,0.5
567,494127,28866,211860,0.74
568,7477,28866,211860,0.42
569,447207,28866,211860,0.74
570,271078,28866,211860,0.64
571,241144,28866,211860,0.2
572,458533,28866,211860,0.61
573,250899,28866,211860,0.35
574,476020,28866,211860,0.26
575,344508,28866,211860,0.53
576,215654,28866,211860,0.55
577,760246,28866,211860,0.41
578,294060,28866,211860,0.43
579,144564,28866,211860,0.59
580,914984,28866,211860,0.92
581,58619,28866,211860,0.21
582,385586,28866,211860,0.2
583,531532,28866,211860,0.32
584,324734,28866,211860,0.37
585,580111,28866,211860,0.23
586,145931,28866,211860,0.51
587,131350,28866,211860,0.57
588,764093,28866,211860,0.52
589,740431,28866,211860,0.25
590,661646,28866,211860,0.54
591,455249,28866,211860,0.36
592,847626,28866,211860,0.06
593,935195,28866,211860,0.69
594,844660,28866,211860,0.33
595,253560,28866,211860,0.43
596,575379,28866,211860,0.23
597,395715,28866,211860,0.48
598,31993,28866,211860,0.1
599,489874,28866,211860,0.42
600,583665,28866,211860,0.58
601,540091,28866,211860,0.53
602,790245,28866,211860,0.42
603,539513,28866,211860,0.71
604,366433,28866,211860,0.6
605,676956,28866,211860,0.39
606,22920,28866,211860,0.52
607,241711,28866,211860,0.43
608,82428,28866,211860,0.75
609,718631,28866,211860,0.39
610,434250,28866,211860,0.97
611,29643,28866,211860,0.47
612,214498,28866,211860,0.47
613,610115,28866,211860,0.4
614,233811,28866,211860,0.36
615,50592,28866,211860,0.57
616,252927,28866,211860,0.45
617,572624,28866,211860,0.09
618,752814,28866,211860,0.57
619,149443,28866,211860,0.59
620,44289,28866,211860,0.47
621,574641,28866,211860,0.44
622,670797,28866,211860,0.87
623,322882,28866,211860,0.6
624,98743,28866,211860,0.54
625,116473,28866,211860,0.62
626,48450,28866,211860,0.72
627,519175,28866,211860,0.76
628,443751,28866,211860,0.47
629,341545,28866,211860,0.5
630,790425,28866,211860,0.33
631,50861,28866,211860,0.6
632,201266,28866,211860,0.38
633,448831,28866,211860,0.5
634,570247,28866,211860,0.07
635,285080,28866,211860,0.53
636,906899,28866,211860,0.68
637,70319,28866,211860,0.39
638,100476,28866,211860,0.45
639,366718,28866,211860,0.89
640,936283,28866,211860,0.44
641,168597,28866,211860,0.68
642,611030,28866,211860,0.43
643,979375,28866,211860,0.47
644,783043,28866,211860,0.45
645,698003,28866,211860,0.19
646,236531,28866,211860,0.51
647,532480,28866,211860,0.25
648,587921,28866,211860,0.43
649,340938,28866,211860,0.67
650,215878,28866,211860,0.58
651,159166,28866,211860,0.23
652,618253,28866,211860,0.09
653,553657,28866,211860,0.76
654,342131,28866,211860,0.2
655,247415,28866,211860,0.15
656,665659,28866,211860,0.22
657,383046,28866,211860,0.33
658,745405,28866,211860,0.42
659,783042,28866,211860,0.21
660,409947,28866,211860,0.5
661,62206,28866,211860,0.05
662,730949,28866,211860,0.62
663,227944,28866,211860,0.65
664,313848,28866,211860,0.53
665,882395,28866,211860,0.35
666,582501,28866,211860,0.59
667,435146,28866,211860,0.48
668,27529,28866,211860,0.54
669,244183,28866,211860,0.95
670,705693,28866,211860,0.79
671,604567,28866,211860,0.46
672,219664,28866,211860,0.61
673,203939,28866,211860,0.81
674,614425,28866,211860,1.0
675,65810,28866,211860,0.83
676,305075,28866,211860,0.57
677,896104,28866,211860,0.48
678,54397,28866,211860,0.45
679,288067,28866,211860,0.56
680,258197,28866,211860,0.3
681,549655,28866,211860,0.82
682,571032,28866,211860,0.67
683,16991,28866,211860,0.55
684,899064,28866,211860,0.9
685,128883,28866,211860,0.09
686,548993,28866,211860,0.46
687,866828,28866,211860,0.31
688,454866,28866,211860,0.48
689,996169,28866,211860,0.66
690,372378,28866,211860,0.36
691,173845,28866,211860,0.82
692,583076,28866,211860,0.62
693,786101,28866,211860,0.55
694,93699,28866,211860,0.36
695,359013,28866,211860,0.43
696,536797,28866,211860,0.71
697,141063,28866,211860,0.4
698,243539,28866,211860,0.56
699,972704,28866,211860,0.49
700,138560,28866,211860,0.51
701,510042,28866,211860,0.74
702,867064,28866,211860,0.94
703,567415,28866,211860,0.63
704,766143,28866,211860,0.62
705,352073,28866,211860,0.73
706,135745,28866,211860,0.64
707,689311,28866,211860,0.38
708,868945,28866,211860,0.59
709,458555,28866,211860,0.63
710,499716,28866,211860,0.08
711,312321,28866,211860,0.72
712,712562,28866,211860,0.33
713,268585,28866,211860,0.07
714,778534,28866,211860,0.54
715,25413,28866,211860,0.2
716,812825,28866,211860,0.49
717,707364,28866,211860,0.14
718,595809,28866,211860,0.82
719,620931,28866,211860,0.18
720,9443,28866,211860,0.47
721,265387,28866,211860,0.54
722,407150,28866,211860,0.32
723,870414,28866,211860,0.53
724,925551,28866,211860,0.51
725,225213,28866,211860,0.79
726,756472,28866,211860,0.49
727,46993,28866,211860,0.23
728,312567,28866,211860,0.15
729,668018,28866,211860,0.56
730,317994,28866,211860,0.34
731,668262,28866,211860,0.66
732,626753,28866,211860,0.07
733,147472,28866,211860,0.73
734,696317,28866,211860,0.12
735,203886,28866,211860,0.06
736,663931,28866,211860,0.68
737,667684,28866,211860,0.84
738,417786,28866,211860,0.2
739,737195,28866,211860,0.7
740,623044,28866,211860,0.58
741,29390,28866,211860,0.83
742,812540,28866,211860,0.62
743,194154,28866,211860,0.33
744,116524,28866,211860,0.35
745,450548,28866,211860,0.32
746,947835,28866,211860,0.58
747,79032,28866,211860,0.87
748,12614,28866,211860,0.49
749,479251,28866,211860,0.65
750,116284,28866,211860,0.22
751,948218,28866,211860,0.9
752,525130,28866,211860,0.44
753,49386,28866,211860,0.86
754,607455,28866,211860,0.51
755,152260,28866,211860,0.36
756,986986,28866,211860,0.28
757,639742,28866,211860,0.9
758,727667,28866,211860,0.57
759,126532,28866,211860,0.77
760,331677,28866,211860,0.62
761,227515,28866,211860,0.55
762,81791,28866,211860,0.22
763,627857,28866,211860,0.19
764,18441,28866,211860,0.29
765,528055,28866,211860,0.05
766,489048,28866,211860,0.56
767,799490,28866,211860,0.89
768,287122,28866,211860,0.84
769,196912,28866,211860,0.68
770,810568,28866,211860,0.37
771,374766,28866,211860,0.84
772,209382,28866,211860,0.59
773,149625,28866,211860,0.28
774,236967,28866,211860,0.66
775,741249,28866,211860,0.53
776,11457,28866,211860,0.32
777,381047,28866,211860,0.47
778,83223,28866,211860,0.19
779,579042,28866,211860,0.41
780,533694,28866,211860,0.28
781,724491,28866,211860,0.26
782,999070,28866,211860,0.5
783,594085,28866,211860,0.92
784,926772,28866,211860,0.34
785,391218,28866,211860,0.18
786,581998,28866,211860,0.5
787,738243,28866,211860,0.54
788,622095,28866,211860,0.59
789,76495,28866,211860,0.84
790,35861,28866,211860,0.81
791,894941,28866,211860,0.44
792,515891,28866,211860,0.33
793,50250,28866,211860,0.73
794,258147,28866,211860,0.76
795,464017,28866,211860,0.51
796,277200,28866,211860,0.13
797,668189,28866,211860,0.46
798,18114,28866,211860,0.88
799,869057,28866,211860,0.47
800,781947,28866,211860,0.55
801,936634,28866,211860,0.9
802,920919,28866,211860,0.63
803,417695,28866,211860,0.3
804,290839,28866,211860,0.62
805,312128,28866,211860,0.66
806,242698,28866,211860,0.56
807,9987,28866,211860,0.38
808,227262,28866,211860,0.08
809,446236,28866,211860,0.55
810,710999,28866,211860,0.34
811,893493,28866,211860,0.58
812,680692,28866,211860,0.44
813,290813,28866,211860,0.42
814,162938,28866,211860,0.43
815,909485,28866,211860,0.58
816,296909,28866,211860,0.58
817,658003,28866,211860,0.36
818,840768,28866,211860,0.8
819,158055,28866,211860,0.55
820,700543,28866,211860,0.78
821,208322,28866,211860,0.54
822,143934,28866,211860,0.86
823,109232,28866,211860,0.94
824,987292,28866,211860,0.5
825,942523,28866,211860,0.44
826,415447,28866,211860,0.47
827,356634,28866,211860,0.68
828,636013,28866,211860,0.62
829,853651,28866,211860,0.55
830,619938,28866,211860,0.56
831,456749,28866,211860,0.44
832,758458,28866,211860,0.85
833,191436,28866,211860,0.64
834,314742,28866,211860,0.56
835,112793,28866,211860,0.27
836,509321,28866,211860,0.52
837,736340,28866,211860,0.14
838,222508,28866,211860,0.82
839,610555,28866,211860,0.49
840,683312,28866,211860,0.62
841,291191,28866,211860,0.82
842,632009,28866,211860,0.51
843,885484,28866,211860,0.66
844,200925,28866,211860,0.39
845,778097,28866,211860,0.42
846,171740,28866,211860,0.99
847,665985,28866,211860,0.58
848,890309,28866,211860,0.03
849,887845,28866,211860,0.41
850,76944,28866,211860,0.19
851,732868,28866,211860,0.49
852,803866,28866,211860,0.61
853,746494,28866,211860,0.57
854,676326,28866,211860,0.75
855,703065,28866,211860,0.51
856,115145,28866,211860,0.71
857,250415,28866,211860,0.25
858,298456,28866,211860,0.22
859,901324,28866,211860,0.24
860,469203,28866,211860,0.53
861,588815,28866,211860,0.77
862,472647,28866,211860,0.74
863,18372,28866,211860,0.72
864,407707,28866,211860,0.38
865,683496,28866,211860,0.66
866,368246,28866,211860,0.33
867,139680,28866,211860,0.25
868,798984,28866,211860,0.64
869,459081,28866,211860,0.86
870,157554,28866,211860,0.59
871,578889,28866,211860,0.61
872,337255,28866,211860,0.49
873,930981,28866,211860,0.16
874,248835,28866,211860,0.95
875,897181,28866,211860,0.51
876,515826,28866,211860,0.04
877,551663,28866,211860,0.76
878,123314,28866,211860,0.01
879,601726,28866,211860,0.58
880,175811,28866,211860,0.72
881,484750,28866,211860,0.5
882,96452,28866,211860,0.08
883,11870,28866,211860,0.7
884,312657,28866,211860,0.21
885,688317,28866,211860,0.25
886,116731,28866,211860,0.01
887,333364,28866,211860,0.62
888,297692,28866,211860,0.58
889,480573,28866,211860,0.37
890,476418,28866,211860,0.63
891,752605,28866,211860,0.55
892,435728,28866,211860,0.46
893,179689,28866,211860,0.04
894,950711,28866,211860,0.49
895,702699,28866,211860,0.59
896,460592,28866,211860,0.88
897,513521,28866,211860,0.72
898,277779,28866,211860,0.41
899,425270,28866,211860,0.7
900,919275,28866,211860,0.76
901,876293,28866,211860,0.67
902,117699,28866,211860,0.77
903,222886,28866,211860,0.56
904,948367,28866,211860,0.21
905,102532,28866,211860,0.97
906,310735,28866,211860,0.97
907,993486,28866,211860,0.5
908,709920,28866,211860,0.49
909,315753,28866,211860,0.46
910,663526,28866,211860,0.33
911,309678,28866,211860,0.22
912,445023,28866,211860,0.54
913,723008,28866,211860,0.1
914,202710,28866,211860,0.5
915,732657,28866,211860,0.93
916,140618,28866,211860,0.25
917,57772,28866,211860,0.53
918,828000,28866,211860,0.01
919,73786,28866,211860,0.77
920,804181,28866,211860,0.03
921,592998,28866,211860,0.68
922,41221,28866,211860,0.45
923,20407,28866,211860,0.47
924,519159,28866,211860,0.46
925,544856,28866,211860,0.48
926,621536,28866,211860,0.4
927,888625,28866,211860,0.2
928,820868,28866,211860,0.65
929,153177,28866,211860,0.4
